Feature,Pearson,Linear Regression,RFE,Lasso,Ridge,Elastic Net,Total
Not Demostrated_TCHR_Standard 4_Pct,False,True,True,False,True,False,3
Not Demostrated_TCHR_Standard 2_Pct,False,True,True,False,True,False,3
Not Demostrated_TCHR_Standard 1_Pct,False,True,True,False,True,False,3
Meets Expected Growth_TCHR_Student Growth_Pct,False,True,True,False,True,False,3
Meets Expected Growth_TCHR_Standard 6_Pct,False,True,True,False,True,False,3
IndianPct,False,True,True,False,True,False,3
Exceeds Expected Growth_TCHR_Standard 6_Pct,False,True,True,False,True,False,3
EVAAS Growth Status_Met,False,True,True,False,True,False,3
EOGSubjects_CACR_TwoorMoreRaces,True,True,False,False,True,False,3
EOGScienceGr5_GLP_SWD,True,True,True,False,False,False,3
EOGReadingGr5_GLP_AmericanIndian,False,True,True,False,True,False,3
EOGReadingGr4_GLP_LEP,False,True,True,False,True,False,3
EOGReadingGr4_CACR_EDS,True,True,True,False,False,False,3
EOGReadingGr4_CACR_AmericanIndian,False,True,True,False,True,False,3
EOGReadingGr3-8_GLP_LEP,True,False,False,True,False,True,3
EOGReadingGr3-8_CACR_TwoorMoreRaces,True,False,False,True,False,True,3
EOGReadingGr3-8_CACR_LEP,True,False,False,True,False,True,3
EOGReadingGr3-8_CACR_Hispanic,True,False,False,True,False,True,3
EOGReadingGr3-8_CACR_EDS,True,False,False,True,False,True,3
EOGMathGr5_GLP_SWD,True,False,False,True,False,True,3
EOGMathGr5_CACR_White,True,False,False,True,False,True,3
EOGMathGr5_CACR_SWD,True,False,False,True,False,True,3
EOGMathGr5_CACR_LEP,False,False,True,True,False,True,3
EOGMathGr5_CACR_AIG,True,False,False,True,False,True,3
EOGMathGr4_GLP_SWD,True,False,False,True,False,True,3
EOGMathGr4_CACR_White,True,False,False,True,False,True,3
EOGMathGr4_CACR_SWD,True,False,False,True,False,True,3
EOGMathGr4_CACR_Hispanic,True,False,False,True,False,True,3
EOGMathGr4_CACR_AIG,True,False,False,True,False,True,3
EOGMathGr3_GLP_SWD,True,False,False,True,False,True,3
EOGMathGr3_CACR_White,True,False,False,True,False,True,3
EOGMathGr3_CACR_SWD,True,False,False,True,False,True,3
EOGMathGr3_CACR_Hispanic,True,False,False,True,False,True,3
EOGMathGr3_CACR_EDS,True,False,False,True,False,True,3
EOGMathGr3_CACR_AIG,True,False,False,True,False,True,3
EOGMathGr3-8_GLP_SWD,True,False,False,True,False,True,3
EOGMathGr3-8_CACR_White,True,False,False,True,False,True,3
EOGMathGr3-8_CACR_TwoorMoreRaces,True,False,False,True,False,True,3
EOGMathGr3-8_CACR_SWD,True,False,False,True,False,True,3
EOGMathGr3-8_CACR_LEP,True,False,False,True,False,True,3
EOGMathGr3-8_CACR_Hispanic,True,False,False,True,False,True,3
EOGMathGr3-8_CACR_Black,True,False,False,True,False,True,3
EOGMathGr3-8_CACR_AIG,True,False,False,True,False,True,3
EOGGr5_CACR_White,True,False,False,True,False,True,3
EOGGr5_CACR_TwoorMoreRaces,True,False,False,True,False,True,3
EOGGr5_CACR_SWD,True,False,False,True,False,True,3
EOGGr5_CACR_LEP,False,False,True,True,False,True,3
EOGGr5_CACR_Hispanic,True,False,False,True,False,True,3
EOGGr5_CACR_Black,True,False,False,True,False,True,3
EOGGr5_CACR_Asian,True,False,False,True,False,True,3
EOGGr5_CACR_AIG,True,False,False,True,False,True,3
EOGGr4_GLP_SWD,True,False,False,True,False,True,3
EOGGr4_CACR_White,True,False,False,True,False,True,3
EOGGr4_CACR_SWD,True,False,False,True,False,True,3
EOGGr4_CACR_Hispanic,True,False,False,True,False,True,3
EOGGr4_CACR_EDS,True,False,False,True,False,True,3
EOGGr4_CACR_All,True,False,False,True,False,True,3
