,Linear reg,Ridge,Lasso,ElasticNet,RFE,RF,Corr.,MIC,Mean
(VITA) prepared returns Ct 50KLT75K,0.42,0.44,0.33,0.31,0.86,0.0,0.0,0.07,0.3
0-3 Years_LEA_Exp_Pct_Prin,0.42,0.39,0.29,0.24,0.91,0.03,0.05,0.09,0.3
st_nbpts_num,0.24,0.44,0.33,0.31,0.99,0.0,0.0,0.07,0.3
EOGMathGr5_CACR_White,0.42,0.48,0.33,0.33,0.32,0.0,0.15,0.28,0.29
SPG Grade_D,0.42,0.39,0.33,0.31,0.48,0.0,0.16,0.24,0.29
EOGMathGr3-8_CACR_SWD,0.42,0.39,0.33,0.31,0.52,0.01,0.12,0.24,0.29
EOGMathGr3-8_CACR_TwoorMoreRaces,0.42,0.48,0.37,0.37,0.48,0.0,0.02,0.15,0.29
Investment interest paid Ct LT25K,0.42,0.4,0.33,0.32,0.76,0.0,0.0,0.05,0.29
Math SPG Grade_D,0.42,0.47,0.36,0.36,0.54,0.0,0.07,0.12,0.29
Attrition_Reason_BeyondControlPerct,0.42,0.37,0.28,0.23,0.84,0.01,0.07,0.11,0.29
lea_flicensed_teach_pct,0.42,0.43,0.33,0.31,0.07,0.07,0.42,0.3,0.29
lea_sat_avg_score_num,0.42,0.32,0.25,0.1,0.64,0.1,0.16,0.3,0.29
EOGMathGr4_CACR_AIG,0.42,0.47,0.35,0.34,0.51,0.0,0.06,0.14,0.29
Add child tax credit Amt 25KLT50K,0.42,0.2,0.33,0.31,0.9,0.01,0.01,0.1,0.29
Domestic production activities deduction Ct LT25K,0.42,0.5,0.32,0.31,0.75,0.0,0.01,0.04,0.29
EOG/EOCSubjects_CACR_EDS,0.42,0.33,0.27,0.16,0.49,0.04,0.23,0.4,0.29
student_num,0.42,0.37,0.33,0.29,0.48,0.07,0.0,0.35,0.29
EOGSubjects_CACR_LEP,0.42,0.36,0.33,0.31,0.74,0.01,0.03,0.09,0.29
Other non-limited misc deduction Ct LT25K,0.42,0.34,0.33,0.31,0.81,0.0,0.0,0.07,0.29
Distinguished_TCHR_Standard 4_Pct,0.42,0.45,0.33,0.33,0.6,0.01,0.06,0.15,0.29
SPG Grade_B,0.42,0.35,0.3,0.28,0.5,0.0,0.12,0.31,0.29
Residential energy tax credit Amt LT25K,0.42,0.48,0.33,0.31,0.76,0.0,0.0,0.03,0.29
Other non-limited misc deduction Ct 75KLT100K,0.42,0.49,0.33,0.31,0.68,0.0,0.01,0.11,0.29
EOGScienceGr5_CACR_EDS,0.42,0.34,0.27,0.25,0.66,0.01,0.08,0.2,0.28
EOCSubjects_CACR_LEP,0.42,0.37,0.33,0.31,0.74,0.0,0.0,0.07,0.28
EOGMathGr5_CACR_Black,0.42,0.5,0.33,0.34,0.52,0.0,0.0,0.1,0.28
Alternative minimum tax Amt 50KLT75K,0.42,0.47,0.33,0.31,0.71,0.0,0.0,0.04,0.28
Distinguished_TCHR_Standard 1_Pct,0.42,0.33,0.33,0.31,0.61,0.02,0.08,0.11,0.28
EOG/EOCSubjects_CACR_Asian,0.42,0.53,0.36,0.36,0.45,0.01,0.01,0.12,0.28
EOGSubjects_CACR_Hispanic,0.42,0.48,0.35,0.39,0.42,0.01,0.05,0.15,0.28
EOGScienceGr5&8_CACR_White,0.42,0.32,0.3,0.27,0.62,0.01,0.11,0.22,0.28
EOGScienceGr5&8_CACR_Black,0.42,0.5,0.33,0.34,0.44,0.01,0.01,0.18,0.28
Domestic production activities deduction Ct 25KLT50K,0.42,0.45,0.34,0.31,0.69,0.0,0.01,0.06,0.28
Domestic production activities deduction Ct 50KLT75K,0.42,0.29,0.33,0.31,0.72,0.0,0.03,0.12,0.28
Self-employed (Keogh) retirement plans Amt LT25K,0.42,0.34,0.33,0.31,0.79,0.0,0.0,0.05,0.28
Crime_Rate_Arson_Rate,0.42,0.52,0.28,0.31,0.64,0.01,0.0,0.02,0.28
Residential energy tax credit Ct LT25K,0.42,0.39,0.33,0.3,0.77,0.0,0.0,0.03,0.28
advance_dgr_pct,0.42,0.45,0.37,0.39,0.21,0.04,0.14,0.19,0.28
EOGGr3_CACR_EDS,0.42,0.41,0.27,0.26,0.54,0.0,0.13,0.23,0.28
Pct of Farm Returns,0.42,0.41,0.33,0.37,0.64,0.02,0.01,0.06,0.28
EOG/EOCSubjects_CACR_SWD,0.42,0.32,0.33,0.31,0.47,0.02,0.12,0.25,0.28
EOGGr4_CACR_AIG,0.42,0.48,0.35,0.35,0.43,0.0,0.09,0.16,0.28
SBE District_Northeast,0.42,0.45,0.28,0.29,0.65,0.0,0.03,0.06,0.27
EOGReadingGr3_CACR_LEP,0.42,0.49,0.33,0.31,0.58,0.0,0.01,0.03,0.27
SBE District_Western,0.42,0.44,0.33,0.33,0.63,0.0,0.01,0.03,0.27
Math SPG Grade_C,0.42,0.46,0.34,0.35,0.53,0.0,0.02,0.06,0.27
EOCMathI_CACR_Male,0.42,0.48,0.34,0.34,0.51,0.0,0.0,0.09,0.27
Earned income credit Amt 50KLT75K,0.42,0.24,0.33,0.28,0.79,0.0,0.0,0.08,0.27
EOGGr3_CACR_All,0.42,0.44,0.33,0.31,0.24,0.01,0.15,0.29,0.27
SBE District_Piedmont-Triad,0.42,0.41,0.31,0.31,0.65,0.0,0.01,0.02,0.27
(VITA) prepared returns Ct 25KLT50K,0.42,0.19,0.33,0.31,0.79,0.01,0.01,0.09,0.27
Other non-limited misc deduction Amt 75KLT100K,0.42,0.3,0.27,0.28,0.78,0.0,0.01,0.11,0.27
Reading SPG Grade_B,0.42,0.44,0.33,0.31,0.27,0.0,0.1,0.26,0.27
EOGReadingGr4_CACR_SWD,0.42,0.49,0.33,0.31,0.49,0.0,0.05,0.11,0.27
EOCMathI_CACR_AIG,0.42,0.48,0.37,0.35,0.47,0.0,0.0,0.06,0.27
avg_age_media_collection,0.42,0.47,0.33,0.31,0.57,0.04,0.0,0.04,0.27
EOGMathGr3-8_CACR_AIG,0.42,0.39,0.31,0.29,0.39,0.01,0.07,0.26,0.27
Domestic production activities deduction Amt 25KLT50K,0.42,0.32,0.32,0.31,0.74,0.0,0.0,0.06,0.27
EOG/EOCSubjects_GLP_LEP,0.42,0.41,0.33,0.31,0.53,0.01,0.03,0.12,0.27
Other non-limited misc deduction Amt 50KLT75K,0.42,0.33,0.33,0.31,0.69,0.0,0.02,0.06,0.27
EOGGr4_CACR_SWD,0.42,0.47,0.33,0.37,0.36,0.01,0.08,0.15,0.27
lea_salary_expense_pct,0.17,0.34,0.18,0.12,1.0,0.02,0.17,0.16,0.27
Alternative minimum tax Amt 25KLT50K,0.42,0.38,0.3,0.26,0.71,0.0,0.0,0.06,0.27
Tot Add Medicare tax Amt 25KLT50K,0.42,0.35,0.33,0.31,0.7,0.0,0.0,0.02,0.27
category_cd_H,0.0,0.43,0.33,0.31,0.98,0.0,0.0,0.08,0.27
Add child tax credit Amt 75KLT100K,0.42,0.31,0.33,0.31,0.73,0.0,0.02,0.07,0.27
EOGGr4_GLP_LEP,0.42,0.49,0.33,0.31,0.59,0.0,0.0,0.03,0.27
EOCSubjects_GLP_LEP,0.42,0.47,0.33,0.31,0.53,0.0,0.0,0.13,0.27
lea_ap_participation_pct,0.42,0.54,0.39,0.4,0.28,0.01,0.02,0.1,0.27
EOGReadingGr5_CACR_EDS,0.42,0.49,0.33,0.31,0.3,0.01,0.08,0.19,0.27
lea_short_susp_per_c_num,0.42,0.35,0.33,0.26,0.44,0.04,0.08,0.23,0.27
EOGScienceGr5&8_CACR_Hispanic,0.42,0.35,0.33,0.28,0.56,0.01,0.0,0.15,0.26
Crime_Rate_Burglary_Rate,0.42,0.45,0.23,0.2,0.69,0.01,0.02,0.09,0.26
lea_tchyrs_11plus_pct,0.42,0.4,0.33,0.31,0.29,0.02,0.19,0.15,0.26
digital_media_pct,0.42,0.47,0.35,0.39,0.41,0.02,0.0,0.04,0.26
Crime_Rate_Violent_Rate,0.42,0.18,0.31,0.2,0.8,0.01,0.04,0.11,0.26
Reading SPG Grade_D,0.42,0.44,0.33,0.32,0.27,0.0,0.11,0.19,0.26
long_susp_per_c_num,0.42,0.41,0.33,0.56,0.29,0.01,0.03,0.06,0.26
EOGGr4_CACR_White,0.42,0.21,0.23,0.15,0.68,0.0,0.13,0.26,0.26
