,Linear reg,Ridge,Lasso,ElasticNet,RFE,RF,Corr.,MIC,Mean
EOG/EOCSubjects_CACR_AIG,0.64,0.52,0.34,0.38,0.7,0.0,0.03,0.16,0.35
EOGGr4_CACR_All,0.64,0.34,0.33,0.36,0.65,0.0,0.13,0.34,0.35
(TCE) prepared returns Ct 75KLT100K,0.64,0.39,0.33,0.36,0.72,0.0,0.03,0.33,0.35
school_type_txt_Regular School,0.55,0.55,0.33,0.36,0.95,0.0,0.01,0.03,0.35
EOGGr3_CACR_EDS,0.64,0.47,0.33,0.36,0.54,0.0,0.12,0.35,0.35
Partnership/S-corp net income (less loss) Amt LT25K,0.64,0.16,0.3,0.34,0.82,0.01,0.02,0.45,0.34
Crime_Rate_Burglary_Rate,0.64,0.49,0.23,0.3,0.75,0.01,0.03,0.25,0.34
Earned income credit Amt 50KLT75K,0.64,0.2,0.33,0.32,0.83,0.0,0.0,0.39,0.34
esea_status_P,0.64,0.48,0.38,0.42,0.64,0.01,0.06,0.06,0.34
Alternative minimum tax Ct 50KLT75K,0.64,0.3,0.33,0.33,0.79,0.0,0.0,0.32,0.34
Attrition_Reason_InitiatedbyLEA,0.64,0.11,0.33,0.35,0.86,0.01,0.0,0.39,0.34
Proficient_TCHR_Standard 1_Pct,0.64,0.45,0.38,0.41,0.59,0.0,0.13,0.16,0.34
Other non-limited misc deduction Amt 50KLT75K,0.64,0.35,0.33,0.36,0.71,0.0,0.02,0.32,0.34
SBE District_Northwest,0.64,0.42,0.34,0.38,0.48,0.0,0.08,0.34,0.34
Science Score,0.64,0.55,0.33,0.36,0.61,0.0,0.05,0.16,0.34
st_tchyrs_0thru3_pct,0.48,0.43,0.33,0.36,0.95,0.0,0.0,0.16,0.34
EOG/EOCSubjects_CACR_All,0.64,0.51,0.33,0.36,0.65,0.0,0.09,0.17,0.34
Domestic production activities deduction Amt 25KLT50K,0.64,0.28,0.31,0.35,0.79,0.0,0.0,0.35,0.34
"calendar_type_txt_Magnet School, Year-Round Calendar",0.6,0.44,0.33,0.36,0.97,0.0,0.0,0.01,0.34
tchyrs_11plus_pct,0.64,0.51,0.33,0.37,0.69,0.0,0.1,0.11,0.34
Home mortgage interest paid from personal seller Amt LT25K,0.64,0.18,0.33,0.29,0.73,0.0,0.02,0.45,0.33
lea_wap_per_classroom,0.64,0.4,0.33,0.33,0.68,0.1,0.01,0.15,0.33
Domestic production activities deduction Amt LT25K,0.64,0.33,0.33,0.36,0.76,0.0,0.01,0.21,0.33
SBE District_Piedmont-Triad,0.64,0.42,0.33,0.36,0.74,0.0,0.01,0.13,0.33
Reading SPG Score,0.64,0.34,0.33,0.36,0.65,0.0,0.08,0.27,0.33
Add child tax credit Amt 25KLT50K,0.64,0.11,0.33,0.36,0.89,0.01,0.02,0.27,0.33
05_Size,0.64,0.35,0.33,0.35,0.61,0.0,0.08,0.25,0.33
Add child tax credit Amt 75KLT100K,0.64,0.19,0.33,0.36,0.81,0.0,0.03,0.3,0.33
Accomplished_TCHR_Standard 4_Pct,0.64,0.42,0.33,0.36,0.63,0.0,0.12,0.12,0.33
EOGSubjects_CACR_AIG,0.64,0.29,0.33,0.36,0.7,0.0,0.05,0.26,0.33
category_cd_H,0.33,0.43,0.33,0.36,0.98,0.0,0.03,0.18,0.33
Tot Add Medicare tax Amt 25KLT50K,0.64,0.38,0.33,0.36,0.78,0.0,0.0,0.16,0.33
Residential energy tax credit Ct LT25K,0.64,0.33,0.33,0.36,0.84,0.0,0.0,0.17,0.33
st_avg_daily_attend_pct,0.5,0.4,0.33,0.36,0.96,0.01,0.01,0.09,0.33
Proficient_TCHR_Standard 4_Pct,0.64,0.4,0.33,0.36,0.62,0.0,0.11,0.16,0.33
lea_crime_per_c_num,0.64,0.39,0.33,0.36,0.45,0.07,0.04,0.38,0.33
(VITA) prepared returns Ct 25KLT50K,0.64,0.22,0.33,0.36,0.72,0.01,0.02,0.31,0.33
EOG/EOCSubjects_CACR_Black,0.64,0.49,0.37,0.41,0.54,0.0,0.0,0.12,0.32
Alternative minimum tax Amt 25KLT50K,0.64,0.41,0.24,0.26,0.78,0.0,0.01,0.2,0.32
EOG/EOCSubjects_CACR_EDS,0.64,0.36,0.33,0.36,0.64,0.0,0.08,0.14,0.32
Proficient_TCHR_Standard 2_Pct,0.64,0.41,0.33,0.36,0.59,0.0,0.09,0.15,0.32
EOGGr3_CACR_White,0.64,0.43,0.33,0.36,0.42,0.0,0.11,0.31,0.32
SBE District_Northeast,0.64,0.42,0.3,0.33,0.73,0.0,0.05,0.1,0.32
EOGMathGr5_CACR_EDS,0.64,0.38,0.33,0.36,0.53,0.0,0.08,0.25,0.32
EOGSubjects_CACR_Asian,0.64,0.51,0.35,0.38,0.6,0.0,0.0,0.09,0.32
EOGScienceGr5_CACR_SWD,0.64,0.52,0.33,0.38,0.61,0.0,0.02,0.1,0.32
EOCMathI_CACR_Male,0.64,0.47,0.34,0.37,0.56,0.0,0.01,0.2,0.32
tchyrs_4thru10_pct,0.64,0.47,0.33,0.36,0.69,0.0,0.03,0.03,0.32
lea_avg_student_num,0.64,0.43,0.33,0.36,0.45,0.05,0.0,0.29,0.32
EOGReadingGr5_CACR_EDS,0.64,0.45,0.33,0.36,0.47,0.0,0.08,0.25,0.32
EOGMathGr5_CACR_Black,0.64,0.45,0.33,0.36,0.53,0.0,0.0,0.21,0.32
EOGMathGr3_CACR_White,0.64,0.43,0.33,0.36,0.34,0.0,0.12,0.36,0.32
04_Size,0.64,0.46,0.33,0.36,0.4,0.0,0.1,0.3,0.32
Accomplished_TCHR_Standard 1_Pct,0.64,0.4,0.33,0.35,0.59,0.0,0.12,0.09,0.32
Pct of Elderly Returns,0.64,0.28,0.33,0.28,0.72,0.01,0.01,0.25,0.32
Other non-limited misc deduction Amt 75KLT100K,0.64,0.2,0.25,0.29,0.83,0.0,0.02,0.31,0.32
Net investment income tax Amt 100KLT200K,0.64,0.09,0.33,0.36,0.76,0.0,0.01,0.39,0.32
st_expelled_per_c_num,0.39,0.45,0.33,0.36,0.94,0.0,0.04,0.08,0.32
Proficient_TCHR_Standard 3_Pct,0.64,0.41,0.33,0.36,0.63,0.0,0.07,0.08,0.32
EOGGr4_CACR_Hispanic,0.64,0.46,0.35,0.39,0.53,0.0,0.03,0.19,0.32
short_susp_per_c_num,0.64,0.37,0.33,0.35,0.57,0.01,0.08,0.24,0.32
EOGGr5_CACR_All,0.64,0.39,0.33,0.36,0.41,0.0,0.11,0.29,0.32
Accomplished_TCHR_Standard 3_Pct,0.64,0.4,0.33,0.36,0.62,0.0,0.09,0.08,0.32
Accomplished_TCHR_Standard 2_Pct,0.64,0.44,0.34,0.39,0.58,0.0,0.08,0.12,0.32
EOGGr3_CACR_Hispanic,0.64,0.45,0.33,0.36,0.49,0.0,0.04,0.21,0.32
03_Size,0.64,0.42,0.33,0.36,0.36,0.0,0.09,0.28,0.31
EOGMathGr3_CACR_EDS,0.64,0.39,0.33,0.36,0.34,0.0,0.1,0.31,0.31
Distinguished_TCHR_Standard 4_Pct,0.64,0.43,0.33,0.36,0.62,0.0,0.03,0.04,0.31
EOGReadingGr3-8_CACR_EDS,0.64,0.39,0.33,0.32,0.51,0.0,0.09,0.22,0.31
02_Size,0.64,0.43,0.33,0.36,0.36,0.0,0.09,0.27,0.31
avg_age_media_collection,0.64,0.46,0.32,0.36,0.63,0.0,0.02,0.04,0.31
EOGScienceGr5&8_CACR_White,0.64,0.39,0.33,0.36,0.52,0.0,0.06,0.16,0.31
Proficient_TCHR_Standard 5_Pct,0.64,0.41,0.33,0.36,0.52,0.0,0.07,0.12,0.31
EOCMathI_CACR_Hispanic,0.64,0.45,0.33,0.36,0.55,0.0,0.0,0.16,0.31
EOCMathI_CACR_Female,0.64,0.32,0.29,0.31,0.7,0.0,0.01,0.19,0.31
EOGGr3_CACR_All,0.64,0.48,0.33,0.37,0.21,0.0,0.12,0.34,0.31
EOGGr4_CACR_EDS,0.64,0.41,0.33,0.36,0.3,0.0,0.11,0.32,0.31
Alternative minimum tax Amt 75KLT100K,0.64,0.18,0.32,0.36,0.82,0.0,0.0,0.19,0.31
EOGMathGr3-8_CACR_Black,0.64,0.46,0.34,0.37,0.56,0.0,0.0,0.07,0.31
Number of farm returns 75KLT100K,0.62,0.12,0.23,0.23,0.92,0.01,0.07,0.31,0.31
Accomplished_TCHR_Standard 5_Pct,0.64,0.39,0.33,0.35,0.56,0.0,0.08,0.1,0.31
00_Size,0.64,0.38,0.32,0.35,0.43,0.0,0.1,0.28,0.31
EOG/EOCSubjects_GLP_LEP,0.64,0.48,0.33,0.36,0.52,0.0,0.03,0.09,0.31
NC Math 1 Score,0.64,0.39,0.33,0.35,0.53,0.0,0.02,0.2,0.31
EOGReadingGr4_CACR_EDS,0.64,0.39,0.33,0.36,0.4,0.0,0.1,0.28,0.31
EOGScienceGr5&8_CACR_Hispanic,0.64,0.46,0.34,0.39,0.47,0.0,0.0,0.06,0.3
Avg Dependents Per Ret,0.64,0.1,0.26,0.15,0.77,0.03,0.06,0.35,0.3
EOGSubjects_CACR_AmericanIndian,0.64,0.45,0.36,0.41,0.43,0.0,0.02,0.06,0.3
_1_to_1_access_Yes,0.64,0.39,0.32,0.35,0.6,0.0,0.01,0.08,0.3
EOGScienceGr5_CACR_Black,0.64,0.34,0.33,0.36,0.55,0.0,0.0,0.2,0.3
Math SPG Grade_B,0.64,0.36,0.33,0.36,0.51,0.0,0.06,0.12,0.3
EOGSubjects_CACR_Hispanic,0.64,0.45,0.33,0.36,0.49,0.0,0.04,0.13,0.3
EOGSubjects_CACR_LEP,0.64,0.4,0.33,0.35,0.52,0.0,0.03,0.13,0.3
Investment interest paid Amt LT25K,0.64,0.17,0.16,0.17,0.87,0.01,0.01,0.35,0.3
category_cd_E,0.06,0.4,0.33,0.36,0.99,0.0,0.07,0.22,0.3
Math I_Size,0.64,0.38,0.33,0.36,0.42,0.0,0.04,0.22,0.3
lea_emer_prov_teach_pct,0.64,0.42,0.33,0.36,0.54,0.02,0.0,0.09,0.3
EOCMathI_CACR_AIG,0.64,0.46,0.36,0.39,0.39,0.0,0.02,0.16,0.3
(TCE) prepared returns Ct 100KLT200K,0.64,0.37,0.34,0.36,0.66,0.0,0.0,0.07,0.3
EOGReadingGr3_CACR_EDS,0.64,0.43,0.33,0.36,0.25,0.0,0.11,0.32,0.3
Developing_TCHR_Standard 2_Pct,0.64,0.4,0.33,0.36,0.57,0.0,0.04,0.09,0.3
Developing_TCHR_Standard 3_Pct,0.64,0.39,0.33,0.36,0.58,0.0,0.02,0.07,0.3
Developing_TCHR_Standard 4_Pct,0.64,0.46,0.36,0.4,0.41,0.0,0.09,0.08,0.3
Developing_TCHR_Standard 5_Pct,0.64,0.43,0.33,0.36,0.51,0.0,0.03,0.08,0.3
EOGMathGr5_CACR_Hispanic,0.64,0.47,0.33,0.36,0.46,0.0,0.01,0.1,0.3
Distinguished_TCHR_Standard 1_Pct,0.64,0.39,0.33,0.36,0.59,0.0,0.03,0.05,0.3
EOGMathGr5_CACR_White,0.64,0.45,0.33,0.36,0.22,0.0,0.11,0.32,0.3
Distinguished_TCHR_Standard 2_Pct,0.64,0.41,0.33,0.36,0.58,0.0,0.03,0.07,0.3
EOGMathGr3-8_CACR_White,0.64,0.36,0.33,0.34,0.42,0.0,0.09,0.24,0.3
EOGReadingGr3-8_CACR_Black,0.64,0.38,0.33,0.36,0.56,0.0,0.0,0.1,0.3
EOGMathGr3-8_CACR_Hispanic,0.64,0.4,0.33,0.36,0.49,0.0,0.03,0.12,0.3
Distinguished_TCHR_Standard 3_Pct,0.64,0.41,0.33,0.36,0.62,0.0,0.02,0.04,0.3
pct_GCE_ALL,0.64,0.4,0.33,0.34,0.38,0.0,0.03,0.28,0.3
EOGMathGr4_CACR_White,0.64,0.41,0.33,0.36,0.17,0.0,0.12,0.35,0.3
EOGGr5_CACR_AIG,0.64,0.39,0.33,0.35,0.4,0.0,0.07,0.23,0.3
EOGGr4_CACR_White,0.64,0.4,0.33,0.36,0.24,0.0,0.11,0.33,0.3
EOG/EOCSubjects_CACR_White,0.64,0.47,0.33,0.39,0.43,0.0,0.05,0.08,0.3
EOCMathI_CACR_EDS,0.64,0.45,0.33,0.36,0.41,0.0,0.01,0.21,0.3
EOCSubjects_CACR_Hispanic,0.64,0.36,0.33,0.35,0.55,0.0,0.01,0.17,0.3
st_avg_student_num,0.0,0.43,0.33,0.36,0.98,0.01,0.03,0.29,0.3
EOG/EOCSubjects_CACR_TwoorMoreRaces,0.64,0.48,0.34,0.37,0.48,0.0,0.01,0.04,0.3
EOG/EOCSubjects_CACR_Asian,0.64,0.34,0.33,0.36,0.6,0.0,0.0,0.14,0.3
EOGGr4_CACR_AIG,0.64,0.44,0.33,0.36,0.34,0.0,0.06,0.2,0.3
EOGMathGr3-8_CACR_SWD,0.64,0.45,0.33,0.36,0.19,0.0,0.09,0.28,0.29
EOGMathGr3-8_CACR_TwoorMoreRaces,0.64,0.44,0.33,0.37,0.46,0.0,0.0,0.04,0.29
Distinguished_TCHR_Standard 5_Pct,0.64,0.43,0.33,0.36,0.51,0.0,0.02,0.06,0.29
EOGGr5_CACR_SWD,0.64,0.39,0.33,0.36,0.31,0.0,0.07,0.23,0.29
EOGGr5_CACR_Hispanic,0.64,0.43,0.33,0.36,0.29,0.0,0.04,0.21,0.29
EOCSubjects_CACR_Black,0.64,0.38,0.33,0.36,0.24,0.0,0.04,0.3,0.29
SPG Score,0.64,0.36,0.33,0.37,0.45,0.0,0.05,0.11,0.29
EOCSubjects_CACR_AIG,0.64,0.38,0.33,0.36,0.4,0.0,0.02,0.17,0.29
EOCMathI_GLP_SWD,0.64,0.44,0.33,0.36,0.39,0.0,0.0,0.12,0.29
TotalTargets_pTarget_PctMet,0.64,0.3,0.3,0.29,0.68,0.0,0.01,0.08,0.29
avg_daily_attend_pct,0.64,0.41,0.33,0.36,0.35,0.01,0.06,0.17,0.29
Developing_TCHR_Standard 1_Pct,0.64,0.43,0.33,0.36,0.41,0.0,0.05,0.08,0.29
wap_num,0.64,0.39,0.32,0.34,0.48,0.0,0.0,0.15,0.29
EOGMathGr3-8_CACR_LEP,0.64,0.4,0.33,0.36,0.44,0.0,0.02,0.15,0.29
EOGReadingGr5_GLP_SWD,0.64,0.4,0.33,0.36,0.44,0.0,0.02,0.11,0.29
EVAAS Growth Score,0.64,0.34,0.32,0.34,0.65,0.0,0.02,0.04,0.29
EOGScienceGr5_CACR_EDS,0.64,0.42,0.33,0.36,0.21,0.0,0.09,0.26,0.29
lea_books_per_student,0.64,0.32,0.33,0.28,0.64,0.01,0.0,0.13,0.29
EOGScienceGr5&8_CACR_SWD,0.64,0.34,0.32,0.34,0.61,0.0,0.01,0.04,0.29
EOGScienceGr5&8_CACR_EDS,0.64,0.39,0.33,0.35,0.47,0.0,0.05,0.1,0.29
EOGSubjects_CACR_Black,0.64,0.37,0.33,0.36,0.54,0.0,0.0,0.05,0.29
EOGReadingGr3-8_CACR_LEP,0.64,0.46,0.33,0.36,0.44,0.0,0.01,0.1,0.29
EOGMathGr3-8_CACR_AmericanIndian,0.64,0.41,0.33,0.36,0.44,0.0,0.01,0.03,0.28
EOGReadingGr3-8_GLP_LEP,0.64,0.4,0.33,0.36,0.34,0.0,0.02,0.14,0.28
EOGReadingGr3-8_GLP_SWD,0.64,0.42,0.33,0.36,0.2,0.0,0.07,0.18,0.28
EOGGr4_CACR_SWD,0.64,0.44,0.33,0.37,0.27,0.0,0.05,0.17,0.28
EOGReadingGr3_CACR_LEP,0.64,0.41,0.33,0.36,0.32,0.0,0.02,0.13,0.28
Crime_Rate_Index_Rate,0.64,0.0,0.28,0.15,0.78,0.02,0.02,0.32,0.28
EOCSubjects_CACR_TwoorMoreRaces,0.64,0.4,0.33,0.37,0.31,0.0,0.01,0.15,0.28
EOG/EOCSubjects_CACR_SWD,0.64,0.44,0.33,0.36,0.3,0.0,0.06,0.14,0.28
EOGReadingGr5_CACR_SWD,0.64,0.44,0.33,0.36,0.38,0.0,0.02,0.08,0.28
SBE District_Western,0.64,0.36,0.31,0.33,0.48,0.0,0.02,0.1,0.28
SPG Grade_B,0.64,0.41,0.33,0.36,0.37,0.0,0.03,0.07,0.28
SPG Grade_I,0.64,0.35,0.33,0.36,0.57,0.0,0.0,0.0,0.28
SRC_devices_sent_home_Yes,0.64,0.42,0.33,0.36,0.36,0.0,0.03,0.1,0.28
EOGReadingGr5_CACR_Hispanic,0.64,0.37,0.33,0.36,0.46,0.0,0.01,0.1,0.28
EOCMathI_CACR_SWD,0.64,0.41,0.33,0.36,0.39,0.0,0.0,0.07,0.28
EOGReadingGr4_CACR_Black,0.64,0.44,0.33,0.36,0.35,0.0,0.0,0.12,0.28
EOGMathGr3-8_CACR_EDS,0.64,0.41,0.33,0.36,0.05,0.0,0.11,0.32,0.28
EVAAS Growth Status_Met,0.64,0.44,0.34,0.37,0.46,0.0,0.0,0.02,0.28
lea_expelled_per_c_num,0.64,0.38,0.28,0.27,0.63,0.0,0.0,0.05,0.28
EOGMathGr3_CACR_AmericanIndian,0.64,0.44,0.33,0.36,0.39,0.0,0.0,0.04,0.28
Math SPG Grade_C,0.64,0.37,0.33,0.36,0.5,0.0,0.02,0.06,0.28
Math SPG Grade_D,0.64,0.39,0.33,0.36,0.5,0.0,0.01,0.02,0.28
