VIF Factor,ABSVIFFactor,features,indexes
5.893208600864065,5.893208600864065,Exceeds Expected Growth_TCHR_Student Growth_Pct,248
6.108679002356011,6.108679002356011,EOGReadingGr3-8_CACR_AmericanIndian,175
6.150252308879295,6.150252308879295,EOGGr4_CACR_AIG,106
6.505473286148042,6.505473286148042,wap_per_classroom,406
6.5136787803685925,6.5136787803685925,EOCSubjects_CACR_SWD,80
6.514229207021038,6.514229207021038,TotalTargets_pTarget_PctMet,311
6.628232911800954,6.628232911800954,EOGMathGr3-8_CACR_AmericanIndian,130
6.671883268737007,6.671883268737007,EOGMathGr4_CACR_SWD,159
6.731601234008627,6.731601234008627,Domestic production activities deduction Amt 75KLT100K,54
6.745017173441349,6.745017173441349,lea_flicensed_teach_pct,356
6.8021044277256575,6.8021044277256575,EOGReadingGr3_GLP_LEP,191
6.812402965045747,6.812402965045747,EOGGr5_CACR_Black,123
6.86036468209135,6.86036468209135,lea_sat_avg_score_num,369
6.8822514430377035,6.8822514430377035,lea_ap_participation_pct,346
7.021656297418353,7.021656297418353,EOGGr4_CACR_SWD,114
7.073951907538915,7.073951907538915,EOGMathGr5_CACR_SWD,171
7.090595880160554,7.090595880160554,lea_nbpts_num,365
7.101862400911587,7.101862400911587,EOG/EOCSubjects_CACR_LEP,90
7.300722257675788,7.300722257675788,EOGScienceGr5_CACR_TwoorMoreRaces,231
7.316724441399405,7.316724441399405,EOGScienceGr5&8_CACR_Hispanic,218
7.330874560807554,7.330874560807554,lea_highqual_class_lp_pct,359
7.406436105411993,7.406436105411993,EOGGr3_CACR_SWD,102
7.437652962161082,7.437652962161082,EOGGr4_CACR_Black,110
7.440971885825844,7.440971885825844,EOGScienceGr5_GLP_LEP,232
7.442828819816395,7.442828819816395,EOGMathGr5_CACR_TwoorMoreRaces,172
7.453646798384587,7.453646798384587,student_num,400
7.4721435472813,7.4721435472813,EOGMathGr3-8_GLP_LEP,139
7.492729468291736,7.492729468291736,EOGReadingGr5_CACR_TwoorMoreRaces,208
7.493947753540225,7.493947753540225,Alternative minimum tax Amt 50KLT75K,24
7.529859753097501,7.529859753097501,EOCSubjects_CACR_AmericanIndian,75
7.540485630064859,7.540485630064859,EOGMathGr5_CACR_AmericanIndian,165
7.572685690465486,7.572685690465486,EOGReadingGr3_CACR_SWD,189
7.581078289038196,7.581078289038196,Tuition and fees deduction Amt 75KLT100K,312
7.58529226554971,7.58529226554971,EOGGr3_CACR_Black,99
