feature_names,weights,absolute_weights
Distinguished_TCHR_Standard 4_Pct,-0.0026010485342697204,0.0026010485342697204
EOGMathGr3-8_CACR_Asian,0.002585133258467454,0.002585133258467454
EOGGr4_CACR_Black,0.0025560138106241435,0.0025560138106241435
EOGMathGr3-8_CACR_EDS,-0.0025436567356703858,0.0025436567356703858
Developing_TCHR_Standard 5_Pct,0.0025313501335704363,0.0025313501335704363
lea_flicensed_teach_pct,0.002510340325250733,0.002510340325250733
"calendar_type_txt_Magnet School, Traditional Calendar",0.002494254905758771,0.002494254905758771
EOGGr3_CACR_Hispanic,-0.0024835665130903874,0.0024835665130903874
EOCSubjects_CACR_Black,-0.0024653317064066813,0.0024653317064066813
lea_stud_internet_comp_num,-0.002453070875485585,0.002453070875485585
lea_ib_pct_4_or_above,0.0024517733888700377,0.0024517733888700377
EOGGr4_CACR_Hispanic,0.002450985415608037,0.002450985415608037
SPG Grade_B,-0.002449989914545465,0.002449989914545465
Crime_Rate_MVT_Rate,-0.0024402133083084175,0.0024402133083084175
EOGMathGr4_CACR_AIG,0.0024172873546907192,0.0024172873546907192
unit_code,-0.002405461648237198,0.002405461648237198
EOCMathI_CACR_Black,0.0024050561031098844,0.0024050561031098844
SBE District_Southeast,-0.0022855746497532107,0.0022855746497532107
EOG/EOCSubjects_CACR_SWD,0.0022541365052526387,0.0022541365052526387
Math I Score,-0.002233601736625755,0.002233601736625755
avg_age_media_collection,-0.002207378741942484,0.002207378741942484
State Gap Compared_Y,-0.0021883159067985418,0.0021883159067985418
Alternative minimum tax Amt LT25K,-0.002183127569050228,0.002183127569050228
Alternative minimum tax Amt 25KLT50K,-0.002152246627710549,0.002152246627710549
EOG/EOCSubjects_CACR_White,0.0021402380392444523,0.0021402380392444523
EOGReadingGr4_GLP_LEP,-0.002116710185871136,0.002116710185871136
EOCMathI_CACR_AIG,-0.0021065701390930586,0.0021065701390930586
EOGReadingGr5_CACR_TwoorMoreRaces,0.0020833287571486673,0.0020833287571486673
EOGMathGr5_CACR_EDS,0.0020676932702574273,0.0020676932702574273
Math SPG Grade_D,-0.002064401393703415,0.002064401393703415
