,Linear reg,Ridge,Lasso,ElasticNet,RFE,RF,Corr.,MIC,Mean
EOGGr5_CACR_AmericanIndian,0.65,0.24,0.31,0.25,0.48,0.0,0.0,0.01,0.24
lea_highqual_class_all_pct,0.65,0.17,0.22,0.21,0.3,0.01,0.16,0.17,0.24
lea_stud_internet_comp_num,0.65,0.29,0.31,0.32,0.31,0.02,0.01,0.03,0.24
State Board Region_Southwest Region,0.65,0.29,0.28,0.3,0.33,0.0,0.02,0.08,0.24
_1_to_1_access_Yes,0.65,0.31,0.32,0.33,0.27,0.0,0.01,0.06,0.24
student_num,0.65,0.17,0.12,0.09,0.56,0.06,0.01,0.26,0.24
expelled_per_c_num,0.65,0.27,0.31,0.32,0.32,0.0,0.0,0.03,0.24
pct_GCE_ALL,0.65,0.23,0.22,0.22,0.48,0.02,0.02,0.12,0.24
calendar_type_txt_Hospital School,0.65,0.26,0.31,0.32,0.39,0.0,0.0,0.01,0.24
category_cd_E,0.25,0.06,0.28,0.25,0.92,0.0,0.06,0.13,0.24
EOGGr4_CACR_TwoorMoreRaces,0.65,0.24,0.28,0.28,0.3,0.0,0.01,0.12,0.24
Reading SPG Score_B,0.65,0.32,0.31,0.32,0.05,0.0,0.07,0.17,0.24
EOGMathGr3_CACR_AIG,0.65,0.28,0.31,0.32,0.14,0.0,0.05,0.13,0.24
EOGReadingGr3_CACR_SWD,0.65,0.21,0.27,0.26,0.26,0.0,0.07,0.17,0.24
EOCSubjects_CACR_TwoorMoreRaces,0.65,0.24,0.31,0.32,0.19,0.0,0.0,0.17,0.24
EOCSubjects_CACR_Asian,0.65,0.27,0.31,0.32,0.28,0.0,0.0,0.08,0.24
EOGSubjects_CACR_Black,0.65,0.3,0.34,0.36,0.14,0.01,0.03,0.11,0.24
EOGScienceGr5_CACR_SWD,0.65,0.2,0.31,0.28,0.3,0.01,0.05,0.12,0.24
Not Demostrated_TCHR_Standard 4_Pct,0.65,0.26,0.31,0.25,0.4,0.0,0.0,0.01,0.24
EOGScienceGr5&8_CACR_TwoorMoreRaces,0.65,0.27,0.31,0.32,0.35,0.0,0.0,0.05,0.24
EOCMathI_GLP_SWD,0.65,0.28,0.31,0.32,0.2,0.0,0.0,0.2,0.24
EOCMathI_CACR_TwoorMoreRaces,0.65,0.36,0.33,0.37,0.1,0.0,0.0,0.12,0.24
EOCMathI_CACR_SWD,0.65,0.29,0.31,0.32,0.27,0.0,0.0,0.11,0.24
EOGReadingGr5_CACR_Hispanic,0.65,0.33,0.31,0.32,0.2,0.01,0.01,0.05,0.24
EOCSubjects_CACR_SWD,0.65,0.3,0.32,0.39,0.09,0.01,0.0,0.18,0.24
EOGGr3_CACR_AmericanIndian,0.65,0.23,0.31,0.32,0.41,0.0,0.0,0.03,0.24
EOGMathGr5_CACR_AmericanIndian,0.65,0.26,0.31,0.32,0.36,0.0,0.0,0.02,0.24
SciGr5&8_pTarget_PctMet,0.65,0.27,0.31,0.32,0.25,0.0,0.02,0.06,0.24
EOGMathGr5_CACR_LEP,0.65,0.36,0.31,0.32,0.24,0.0,0.0,0.01,0.24
EOGMathGr5_CACR_AIG,0.65,0.22,0.31,0.3,0.23,0.0,0.07,0.14,0.24
Reading SPG Score_C,0.65,0.29,0.31,0.32,0.15,0.0,0.07,0.12,0.24
EOGMathGr5_CACR_SWD,0.65,0.3,0.31,0.33,0.16,0.01,0.04,0.12,0.24
EOGReadingGr3-8_CACR_AmericanIndian,0.65,0.26,0.31,0.32,0.28,0.0,0.01,0.06,0.24
EVAAS Growth Status_NotMet,0.65,0.32,0.33,0.34,0.1,0.0,0.03,0.06,0.23
EOCSubjects_GLP_LEP,0.65,0.31,0.31,0.32,0.12,0.0,0.0,0.12,0.23
EOGScienceGr5_CACR_LEP,0.65,0.24,0.31,0.32,0.27,0.0,0.0,0.02,0.23
EOGReadingGr3-8_CACR_LEP,0.65,0.23,0.31,0.32,0.21,0.01,0.02,0.09,0.23
EOGGr3_CACR_AIG,0.65,0.29,0.31,0.32,0.08,0.0,0.05,0.13,0.23
EOGReadingGr3-8_GLP_SWD,0.65,0.25,0.31,0.29,0.05,0.01,0.1,0.2,0.23
EOGScienceGr5&8_CACR_LEP,0.65,0.26,0.31,0.29,0.31,0.0,0.0,0.03,0.23
EOGGr5_CACR_All,0.65,0.28,0.23,0.28,0.0,0.01,0.15,0.26,0.23
EOGGr5_CACR_Hispanic,0.65,0.27,0.31,0.32,0.14,0.01,0.04,0.07,0.23
EOGReadingGr5_CACR_Black,0.65,0.29,0.31,0.32,0.21,0.0,0.0,0.04,0.23
EOGMathGr4_CACR_SWD,0.65,0.29,0.32,0.32,0.15,0.0,0.04,0.08,0.23
02_Size,0.65,0.24,0.31,0.32,0.17,0.01,0.06,0.11,0.23
lea_not_highqual_class_hp_pct,0.65,0.2,0.29,0.27,0.34,0.01,0.02,0.06,0.23
EOGGr5_CACR_Asian,0.65,0.3,0.31,0.32,0.15,0.0,0.02,0.08,0.23
Math SPG Score_B,0.65,0.27,0.28,0.29,0.03,0.0,0.1,0.19,0.23
EOGMathGr3_CACR_TwoorMoreRaces,0.65,0.27,0.31,0.3,0.29,0.0,0.0,0.02,0.23
Meets Expected Growth_TCHR_Student Growth_Pct,0.65,0.28,0.29,0.3,0.18,0.03,0.03,0.09,0.23
Domestic production activities deduction Amt 25KLT50K,0.65,0.28,0.31,0.32,0.21,0.0,0.01,0.05,0.23
Not Demostrated_TCHR_Standard 1_Pct,0.65,0.28,0.31,0.32,0.24,0.0,0.0,0.02,0.23
EOCSubjects_CACR_AmericanIndian,0.65,0.28,0.31,0.32,0.23,0.0,0.0,0.06,0.23
highqual_class_pct,0.65,0.28,0.24,0.27,0.04,0.03,0.07,0.29,0.23
EOGMathGr3-8_CACR_AmericanIndian,0.65,0.31,0.31,0.32,0.17,0.0,0.01,0.05,0.23
Residential energy tax credit Amt LT25K,0.65,0.25,0.31,0.3,0.22,0.0,0.02,0.1,0.23
Reading SPG Score_D,0.65,0.27,0.32,0.32,0.02,0.0,0.07,0.18,0.23
EOCSubjects_CACR_LEP,0.65,0.3,0.31,0.34,0.07,0.0,0.0,0.09,0.22
EOGReadingGr3-8_CACR_TwoorMoreRaces,0.65,0.32,0.31,0.31,0.06,0.01,0.02,0.12,0.22
EOGReadingGr3_CACR_Black,0.65,0.3,0.31,0.32,0.12,0.01,0.0,0.08,0.22
EOGMathGr3_CACR_Hispanic,0.65,0.29,0.31,0.32,0.1,0.01,0.01,0.06,0.22
EOCMathI_CACR_AmericanIndian,0.65,0.27,0.31,0.32,0.22,0.0,0.0,0.02,0.22
lea_sat_participation_pct,0.65,0.3,0.35,0.34,0.08,0.01,0.0,0.02,0.22
EOGMathGr5_CACR_Hispanic,0.65,0.28,0.31,0.32,0.11,0.0,0.01,0.05,0.22
State and local general sales taxes Amt GE200K,0.65,0.28,0.31,0.32,0.13,0.0,0.02,0.09,0.22
EOCMathI_CACR_LEP,0.65,0.33,0.31,0.32,0.09,0.0,0.0,0.1,0.22
EOGMathGr5_CACR_Asian,0.65,0.28,0.31,0.32,0.16,0.0,0.0,0.04,0.22
EOGScienceGr5&8_CACR_SWD,0.65,0.29,0.31,0.31,0.06,0.01,0.05,0.11,0.22
EOGScienceGr5&8_CACR_Asian,0.65,0.3,0.31,0.32,0.16,0.0,0.01,0.04,0.22
EOGGr3_CACR_TwoorMoreRaces,0.65,0.26,0.29,0.29,0.21,0.0,0.01,0.04,0.22
EOGScienceGr5&8_CACR_Black,0.65,0.3,0.31,0.32,0.03,0.01,0.0,0.14,0.22
esea_status_P,0.65,0.29,0.32,0.33,0.02,0.0,0.06,0.08,0.22
digital_media_pct,0.65,0.29,0.31,0.32,0.07,0.02,0.0,0.1,0.22
EVAAS Growth Status_Met,0.65,0.3,0.32,0.33,0.04,0.0,0.01,0.02,0.21
EOGMathGr3-8_CACR_TwoorMoreRaces,0.65,0.24,0.31,0.31,0.01,0.0,0.02,0.12,0.21
SPG Grade_A+NG,0.65,0.29,0.35,0.34,0.01,0.0,0.01,0.04,0.21
Alternative minimum tax Amt LT25K,0.65,0.25,0.31,0.32,0.13,0.0,0.0,0.02,0.21
"calendar_type_txt_Magnet School, Year-Round Calendar",0.65,0.28,0.31,0.3,0.12,0.01,0.0,0.02,0.21
EOGGr4_CACR_Black,0.65,0.3,0.31,0.32,0.06,0.01,0.01,0.05,0.21
EOGScienceGr5&8_CACR_AmericanIndian,0.65,0.29,0.31,0.32,0.09,0.0,0.0,0.02,0.21
EOCMathI_CACR_Asian,0.65,0.28,0.31,0.31,0.03,0.0,0.01,0.09,0.21
EOG/EOCSubjects_CACR_LEP,0.65,0.27,0.31,0.31,0.02,0.01,0.03,0.11,0.21
EOGMathGr4_CACR_TwoorMoreRaces,0.65,0.3,0.31,0.32,0.04,0.0,0.0,0.03,0.21
EOGReadingGr3_CACR_LEP,0.65,0.31,0.31,0.32,0.03,0.0,0.01,0.04,0.21
EOCMathI_GLP_LEP,0.65,0.24,0.31,0.32,0.06,0.0,0.0,0.12,0.21
EOGMathGr4_CACR_LEP,0.65,0.29,0.31,0.32,0.08,0.0,0.0,0.02,0.21
EOGGr4_CACR_LEP,0.65,0.25,0.31,0.28,0.04,0.0,0.01,0.05,0.2
EOGScienceGr5_CACR_AmericanIndian,0.65,0.16,0.08,0.0,0.7,0.0,0.0,0.03,0.2
Crime_Rate_MVT_Rate,0.65,0.31,0.29,0.32,0.01,0.02,0.0,0.04,0.2
"calendar_type_txt_Special Education, Traditional Calendar",0.65,0.28,0.31,0.32,0.01,0.0,0.0,0.01,0.2
Pct of Farm Returns,0.65,0.27,0.25,0.26,0.0,0.01,0.02,0.07,0.19
Crime_Rate_Arson_Rate,0.65,0.19,0.0,0.02,0.19,0.02,0.0,0.03,0.14
Year,0.5,0.29,0.31,0.32,0.9,0.0,,0.0,
