,Linear reg,Ridge,Lasso,ElasticNet,RFE,RF,Corr.,MIC,Mean
Meets Expected Growth_TCHR_Standard 6_Pct,0.51,0.4,0.32,0.38,0.26,0.04,0.01,0.05,0.25
lea_avg_age_media_collection_1988,0.51,0.32,0.31,0.28,0.58,0.0,0.0,0.02,0.25
SPG Grade_A+NG,0.51,0.38,0.37,0.41,0.24,0.0,0.0,0.02,0.24
lea_not_highqual_class_lp_pct,0.51,0.27,0.31,0.31,0.44,0.01,0.01,0.05,0.24
Tuition and fees deduction Amt 75KLT100K,0.51,0.17,0.31,0.26,0.66,0.0,0.0,0.04,0.24
EOG/EOCSubjects_CACR_Asian,0.51,0.37,0.31,0.35,0.25,0.01,0.01,0.15,0.24
EOG/EOCSubjects_GLP_LEP,0.51,0.33,0.35,0.4,0.23,0.01,0.02,0.1,0.24
esea_status_R,0.51,0.32,0.27,0.29,0.38,0.0,0.03,0.08,0.24
EOGMathGr4_GLP_LEP,0.51,0.2,0.22,0.23,0.65,0.0,0.01,0.07,0.24
EOG/EOCSubjects_CACR_AmericanIndian,0.51,0.33,0.29,0.32,0.3,0.0,0.0,0.19,0.24
EOCMathI_CACR_Hispanic,0.51,0.33,0.29,0.32,0.19,0.01,0.02,0.24,0.24
lea_highqual_class_hp_pct,0.51,0.33,0.3,0.32,0.44,0.01,0.0,0.05,0.24
esea_attendance_Met,0.51,0.2,0.27,0.25,0.64,0.0,0.02,0.05,0.24
lea_nbpts_num,0.51,0.39,0.31,0.34,0.17,0.03,0.04,0.12,0.24
EOGSubjects_CACR_Asian,0.51,0.27,0.29,0.3,0.39,0.01,0.02,0.15,0.24
EOGScienceGr5_GLP_LEP,0.51,0.36,0.31,0.34,0.32,0.0,0.0,0.06,0.24
EOGGr5_CACR_LEP,0.51,0.37,0.31,0.37,0.29,0.0,0.0,0.04,0.24
EVAAS Growth Score,0.51,0.37,0.31,0.34,0.24,0.03,0.02,0.09,0.24
EOGScienceGr5&8_GLP_SWD,0.51,0.4,0.3,0.32,0.23,0.01,0.05,0.11,0.24
Excess earned income credit (refundable) Amt 50KLT75K,0.51,0.37,0.31,0.35,0.35,0.0,0.01,0.06,0.24
lea_books_per_student,0.51,0.4,0.31,0.34,0.31,0.01,0.0,0.05,0.24
EOGScienceGr5&8_CACR_AmericanIndian,0.51,0.29,0.31,0.3,0.44,0.0,0.01,0.07,0.24
EOGMathGr5_CACR_Asian,0.51,0.39,0.34,0.38,0.27,0.0,0.0,0.03,0.24
Not Demostrated_TCHR_Standard 4_Pct,0.51,0.37,0.31,0.38,0.34,0.0,0.01,0.04,0.24
Number of farm returns 100KLT200K,0.32,0.14,0.23,0.16,0.91,0.01,0.03,0.12,0.24
lea_short_susp_per_c_num,0.51,0.34,0.31,0.34,0.09,0.04,0.1,0.22,0.24
crime_per_c_num,0.51,0.36,0.31,0.34,0.11,0.03,0.04,0.22,0.24
_1_to_1_access_YES,0.51,0.37,0.34,0.36,0.15,0.0,0.05,0.11,0.24
lea_long_susp_per_c_num,0.51,0.33,0.31,0.34,0.36,0.01,0.0,0.05,0.24
EOGMathGr4_CACR_Black,0.51,0.33,0.31,0.34,0.28,0.01,0.0,0.12,0.24
digital_media_pct,0.51,0.32,0.31,0.34,0.35,0.01,0.0,0.05,0.24
EOCSubjects_CACR_AmericanIndian,0.51,0.36,0.31,0.34,0.22,0.0,0.01,0.12,0.23
books_per_student,0.51,0.37,0.31,0.37,0.18,0.03,0.0,0.05,0.23
Math SPG Grade_B,0.51,0.35,0.31,0.34,0.08,0.0,0.07,0.2,0.23
EOG/EOCSubjects_CACR_Black,0.51,0.37,0.31,0.35,0.1,0.03,0.01,0.14,0.23
EOGGr3_CACR_TwoorMoreRaces,0.51,0.31,0.29,0.3,0.38,0.0,0.02,0.06,0.23
lea_salary,0.51,0.26,0.31,0.34,0.36,0.01,0.03,0.05,0.23
EOGMathGr5_CACR_SWD,0.51,0.37,0.31,0.36,0.13,0.0,0.05,0.14,0.23
EOGMathGr4_GLP_SWD,0.51,0.32,0.31,0.33,0.12,0.01,0.07,0.16,0.23
EOGReadingGr3-8_CACR_Hispanic,0.51,0.33,0.31,0.34,0.21,0.01,0.03,0.1,0.23
EOGReadingGr3-8_CACR_LEP,0.51,0.38,0.31,0.34,0.15,0.0,0.02,0.14,0.23
EOGReadingGr3-8_GLP_LEP,0.51,0.33,0.31,0.34,0.15,0.01,0.02,0.17,0.23
EOGMathGr4_CACR_SWD,0.51,0.37,0.31,0.34,0.12,0.0,0.06,0.14,0.23
EOGReadingGr3_CACR_LEP,0.51,0.33,0.31,0.34,0.23,0.0,0.02,0.08,0.23
EOGMathGr3_GLP_SWD,0.51,0.26,0.31,0.34,0.13,0.01,0.09,0.21,0.23
EOGMathGr3_CACR_Black,0.51,0.37,0.32,0.35,0.21,0.01,0.0,0.09,0.23
EOGReadingGr5_CACR_SWD,0.51,0.37,0.31,0.34,0.19,0.0,0.04,0.1,0.23
EOGReadingGr5_GLP_AmericanIndian,0.51,0.37,0.31,0.34,0.27,0.0,0.0,0.03,0.23
EOGScienceGr5&8_CACR_Black,0.51,0.35,0.31,0.34,0.1,0.01,0.01,0.24,0.23
EOGScienceGr5&8_CACR_SWD,0.51,0.27,0.31,0.34,0.28,0.01,0.04,0.09,0.23
EOGSubjects_CACR_AmericanIndian,0.51,0.35,0.31,0.34,0.22,0.0,0.0,0.12,0.23
lea_avg_age_media_collection_2010,0.51,0.29,0.31,0.34,0.34,0.0,0.0,0.02,0.23
EOGGr5_CACR_Black,0.51,0.38,0.31,0.34,0.19,0.0,0.02,0.1,0.23
long_susp_per_c_num,0.51,0.29,0.16,0.04,0.74,0.01,0.0,0.06,0.23
EOGGr5_CACR_AIG,0.51,0.36,0.32,0.35,0.08,0.0,0.07,0.16,0.23
EOGMathGr5_CACR_Black,0.51,0.36,0.34,0.36,0.11,0.01,0.0,0.14,0.23
MathGr3-8_pTarget_PctMet,0.51,0.35,0.31,0.34,0.0,0.01,0.07,0.27,0.23
pct_GCE_ALL,0.51,0.36,0.31,0.34,0.19,0.01,0.03,0.12,0.23
lea_expelled_per_c_num,0.51,0.38,0.35,0.46,0.16,0.0,0.0,0.01,0.23
01_Size,0.51,0.34,0.31,0.34,0.03,0.01,0.08,0.17,0.22
EOGReadingGr5_CACR_Black,0.51,0.33,0.31,0.34,0.12,0.0,0.0,0.15,0.22
highqual_class_pct,0.51,0.35,0.31,0.34,0.06,0.02,0.05,0.14,0.22
EOGSubjects_CACR_Hispanic,0.51,0.34,0.31,0.34,0.02,0.01,0.05,0.14,0.22
expelled_per_c_num,0.51,0.36,0.31,0.34,0.16,0.01,0.0,0.04,0.22
EOGReadingGr3-8_CACR_AmericanIndian,0.51,0.36,0.31,0.34,0.17,0.0,0.01,0.1,0.22
EOGMathGr5_CACR_LEP,0.51,0.37,0.31,0.34,0.22,0.0,0.0,0.05,0.22
EOGMathGr5_CACR_AmericanIndian,0.51,0.33,0.31,0.34,0.23,0.0,0.0,0.03,0.22
EOGReadingGr5_CACR_AmericanIndian,0.51,0.27,0.31,0.34,0.29,0.0,0.0,0.02,0.22
Domestic production activities deduction Amt 100KLT200K,0.51,0.2,0.31,0.34,0.31,0.01,0.01,0.06,0.22
EOGReadingGr5_CACR_LEP,0.51,0.32,0.31,0.32,0.32,0.0,0.0,0.02,0.22
EOGReadingGr5_GLP_LEP,0.51,0.32,0.31,0.34,0.21,0.0,0.0,0.03,0.22
EOGScienceGr5&8_CACR_Asian,0.51,0.33,0.31,0.34,0.18,0.0,0.0,0.07,0.22
EOGScienceGr5_CACR_Black,0.51,0.34,0.31,0.34,0.1,0.0,0.0,0.13,0.22
EOGScienceGr5_CACR_LEP,0.51,0.37,0.36,0.41,0.07,0.0,0.0,0.05,0.22
EOGMathGr3_CACR_Hispanic,0.51,0.37,0.31,0.34,0.13,0.0,0.03,0.1,0.22
EOGSubjects_CACR_Black,0.51,0.32,0.31,0.34,0.1,0.01,0.02,0.14,0.22
EOGReadingGr3_CACR_Black,0.51,0.36,0.31,0.34,0.16,0.01,0.01,0.1,0.22
EOGGr3_CACR_Black,0.51,0.33,0.31,0.34,0.17,0.0,0.01,0.08,0.22
Math SPG Grade_C,0.51,0.35,0.31,0.34,0.08,0.0,0.07,0.14,0.22
EOGMathGr3-8_CACR_AmericanIndian,0.51,0.32,0.31,0.33,0.17,0.0,0.01,0.09,0.22
EOGGr4_CACR_TwoorMoreRaces,0.51,0.33,0.31,0.33,0.2,0.0,0.01,0.07,0.22
EOGGr4_CACR_Asian,0.51,0.31,0.3,0.31,0.26,0.0,0.01,0.08,0.22
esea_status_P,0.51,0.35,0.31,0.34,0.04,0.0,0.04,0.13,0.22
"calendar_type_txt_Magnet School, Year-Round Calendar",0.51,0.32,0.31,0.34,0.3,0.0,0.0,0.02,0.22
EOCMathI_CACR_EDS,0.51,0.34,0.31,0.34,0.01,0.01,0.01,0.21,0.22
EOGGr3_CACR_AIG,0.51,0.36,0.31,0.34,0.08,0.0,0.03,0.07,0.21
EOCSubjects_CACR_Asian,0.51,0.35,0.31,0.34,0.04,0.0,0.0,0.13,0.21
EOCMathI_CACR_AmericanIndian,0.51,0.32,0.31,0.31,0.21,0.0,0.0,0.04,0.21
EOGMathGr3_CACR_AmericanIndian,0.51,0.33,0.31,0.34,0.16,0.0,0.0,0.01,0.21
EOGGr3_CACR_Asian,0.51,0.35,0.34,0.37,0.01,0.0,0.01,0.08,0.21
EOGReadingGr3_CACR_TwoorMoreRaces,0.51,0.35,0.33,0.35,0.07,0.0,0.0,0.04,0.21
EOGGr3_CACR_LEP,0.51,0.29,0.3,0.3,0.14,0.0,0.04,0.1,0.21
EOGMathGr4_CACR_TwoorMoreRaces,0.51,0.35,0.31,0.34,0.14,0.0,0.0,0.04,0.21
EOGMathGr3_CACR_AIG,0.51,0.33,0.31,0.33,0.05,0.0,0.03,0.1,0.21
EOGMathGr3_CACR_Asian,0.51,0.36,0.32,0.35,0.09,0.0,0.0,0.04,0.21
lea_ib_pct_4_or_above,0.51,0.32,0.32,0.34,0.12,0.0,0.0,0.1,0.21
EOGReadingGr4_CACR_Black,0.51,0.35,0.33,0.36,0.04,0.01,0.0,0.11,0.21
EOGSubjects_GLP_LEP,0.51,0.35,0.31,0.34,0.0,0.01,0.03,0.1,0.21
calendar_type_txt_Hospital School,0.51,0.36,0.31,0.34,0.14,0.0,0.0,0.01,0.21
State Gap Compared_Insufficient Data,0.51,0.36,0.31,0.34,0.05,0.0,0.0,0.14,0.21
SciGr5&8_pTarget_PctMet,0.51,0.33,0.31,0.33,0.02,0.0,0.03,0.17,0.21
SBE District_Southwest,0.51,0.14,0.24,0.26,0.53,0.0,0.0,0.02,0.21
SBE District_Northwest,0.51,0.26,0.26,0.27,0.2,0.0,0.06,0.13,0.21
Grad_project_status_Y,0.51,0.36,0.32,0.34,0.09,0.0,0.02,0.05,0.21
EOCMathI_CACR_LEP,0.51,0.36,0.31,0.34,0.03,0.0,0.0,0.14,0.21
EOGReadingGr4_CACR_TwoorMoreRaces,0.51,0.34,0.31,0.34,0.15,0.0,0.0,0.04,0.21
lea_avg_daily_attend_pct,0.51,0.33,0.31,0.31,0.05,0.01,0.01,0.05,0.2
EOGGr4_CACR_AmericanIndian,0.51,0.34,0.31,0.34,0.06,0.0,0.0,0.02,0.2
EOGReadingGr4_GLP_LEP,0.51,0.35,0.31,0.34,0.06,0.0,0.01,0.06,0.2
EOGGr3_CACR_AmericanIndian,0.51,0.34,0.31,0.34,0.11,0.0,0.0,0.01,0.2
SPG Grade_I,0.51,0.31,0.28,0.26,0.18,0.0,0.01,0.03,0.2
EOGScienceGr5&8_CACR_TwoorMoreRaces,0.51,0.35,0.31,0.34,0.03,0.01,0.0,0.08,0.2
EOGMathGr4_CACR_AmericanIndian,0.51,0.35,0.31,0.34,0.04,0.0,0.0,0.02,0.2
SBE District_Sandhills,0.51,0.28,0.32,0.34,0.05,0.0,0.04,0.1,0.2
EOCSubjects_CACR_LEP,0.51,0.34,0.31,0.34,0.03,0.0,0.0,0.11,0.2
EOGMathGr4_CACR_Asian,0.51,0.33,0.3,0.32,0.09,0.0,0.01,0.05,0.2
Domestic production activities deduction Ct 25KLT50K,0.51,0.33,0.31,0.34,0.02,0.0,0.01,0.1,0.2
EOGReadingGr3_CACR_AmericanIndian,0.51,0.36,0.31,0.34,0.11,0.0,0.0,0.01,0.2
EOGGr5_CACR_Asian,0.51,0.35,0.32,0.34,0.02,0.0,0.01,0.08,0.2
esea_status_RF,0.51,0.33,0.31,0.34,0.14,0.0,0.0,0.01,0.2
Math SPG Grade_D,0.51,0.34,0.31,0.33,0.07,0.0,0.02,0.06,0.2
EOGReadingGr4_CACR_LEP,0.51,0.35,0.31,0.34,0.06,0.0,0.01,0.05,0.2
SBE District_Southeast,0.51,0.16,0.21,0.21,0.39,0.0,0.0,0.02,0.19
Byod_YES,0.51,0.35,0.31,0.34,0.01,0.0,0.0,0.02,0.19
EOGGr5_CACR_AmericanIndian,0.51,0.35,0.31,0.34,0.01,0.0,0.0,0.02,0.19
Year,0.49,0.35,0.31,0.34,0.8,0.0,,0.0,
