County,FIPS_Code,County_Seat,Created,Origin,Etymoloty,Population_2017,Area,Map,_1yr_tchr_trnovr_pct,szip_ad
Jackson County,099,Sylva,1851,Haywood County and Macon County,"Andrew Jackson (1767–1845), the 7th President of the United States","41,725","494 sq mi(1,279 km2)",,0.0997777777777778,28760.11111111111
Johnston County,101,Smithfield,1746,Craven County,"Gabriel Johnston (1699–1752), a governor of colonial North Carolina","186,308","796 sq mi(2,062 km2)",,0.10522727272727272,27546.608695652172
Jones County,103,Trenton,1778,Craven County,"Willie Jones (1740–1801), opposed the ratification of the United States Constitution and declined an invitation to the Constitutional Convention","9,776","473 sq mi(1,225 km2)",,0.18766666666666668,28567.5
Lee County,105,Sanford,1907,Chatham County and Moore County,"Robert E. Lee (1807–1870), a career United States Army officer and general of the Confederate forces during the American Civil War","59,805",259 sq mi(671 km2),,0.1506875,27341.3125
Lenoir County,107,Kinston,1791,Dobbs County,"William Lenoir (1751–1839), a captain in the American Revolutionary War who took part in the Battle of Kings Mountain","57,934","402 sq mi(1,041 km2)",,0.19476470588235295,28516.529411764706
Lincoln County,109,Lincolnton,1779,Tryon County,"Benjamin Lincoln (1733–1810), a major general during the American Revolutionary War who participated in the Siege of Yorktown","80,504",307 sq mi(795 km2),,0.09954166666666665,28085.875
McDowell County,111,Marion,1842,Burke County and Rutherford County,"Joseph McDowell (1756–1801), a soldier in the American Revolutionary War who took part in the Battle of Kings Mountain","34,160","446 sq mi(1,155 km2)",,0.09115384615384615,28753.46153846154
Macon County,113,Franklin,1828,Haywood County,"Nathaniel Macon (1758–1837), a member and Speaker of the United States House of Representatives","21,347","519 sq mi(1,344 km2)",,0.07136363636363635,28738.909090909092
Madison County,115,Marshall,1851,Buncombe County and Yancey County,"James Madison (1751–1836), the 4th President of the United States","23,227","452 sq mi(1,171 km2)",,0.124,28751.5
Martin County,117,Williamston,1774,Halifax County and Tyrrell County,"Josiah Martin (1737–1786), the last governor of colonial North Carolina","45,069","461 sq mi(1,194 km2)",,0.13610000000000003,27875.9
Mecklenburg County,119,Charlotte,1762,Anson County,"Charlotte of Mecklenburg-Strelitz (1744–1818), the queen consort of George III of the United Kingdom","1,034,290","546 sq mi(1,414 km2)",,0.13011309523809525,28208.882352941175
Mitchell County,121,Bakersville,1861,"Burke County, Caldwell County, McDowell County, Watauga County, and Yancey County","Elisha Mitchell (1793–1857), a professor at the University of North Carolina who measured the height of Mount Mitchell","15,155",222 sq mi(575 km2),,0.11314285714285713,28746.14285714286
Montgomery County,123,Troy,1779,Anson County,"Richard Montgomery (1738–1775), a major general during the Revolutionary War who was killed at the Battle of Quebec","27,445","502 sq mi(1,300 km2)",,0.11781818181818181,27294.81818181818
Moore County,125,Carthage,1784,Cumberland County,"Alfred Moore (1755–1810), a captain in the Revolutionary War and justice of the Supreme Court of the United States","94,191","706 sq mi(1,829 km2)",,0.15260869565217391,27991.82608695652
Nash County,127,Nashville,1777,Edgecombe County,"Francis Nash (1742–1777), a brigadier general in the Revolutionary War who was mortally wounded at the Battle of Germantown","94,125","543 sq mi(1,406 km2)",,0.16321428571428578,27812.39285714286
New Hanover County,129,Wilmington,1729,Craven County,"The royal family of England, members of the House of Hanover","219,866",328 sq mi(850 km2),,0.11835714285714284,28410.97619047619
Northampton County,131,Jackson,1741,Bertie County,"James Compton, 5th Earl of Northampton (1687–1754), a British peer and politician","20,426","551 sq mi(1,427 km2)",,0.2731666666666667,27836.428571428572
Onslow County,133,Jacksonville,1734,New Hanover County,"Arthur Onslow (1691–1768), Speaker of the British House of Commons","192,685","909 sq mi(2,354 km2)",,0.15637142857142855,28543.14285714286
Orange County,135,Hillsborough,1752,"Bladen County, Granville County, and Johnston County","Prince William V of Orange (1748–1806), the last Stadtholder of the Dutch Republic","141,812","401 sq mi(1,039 km2)",,0.14284848484848486,27426.757575757576
Pamlico County,137,Bayboro,1872,Beaufort County and Craven County,Pamlico Sound and the Pamlico Indian tribe,"12,803","566 sq mi(1,466 km2)",,0.16675,28515.0
Pasquotank County,139,Elizabeth City,1668,Albemarle County,"Derived from the Indian word """"pasketanki"""" which meant """"where the current of the stream divides or forks""""","39,546",289 sq mi(749 km2),,0.15666666666666665,27909.0
Pender County,141,Burgaw,1875,New Hanover County,"William Dorsey Pender (1834–1863), Confederate soldier who was mortally wounded at the Battle of Gettysburg of the American Civil War","57,630","933 sq mi(2,416 km2)",,0.19175000000000003,28441.9375
Perquimans County,143,Hertford,1668,Albemarle County,"The Indian word """"perquimans"""" means """"land of beautiful women"""" and was coined by a sect of the Yeopim tribe, later becoming the 'Perquiman'","13,506",329 sq mi(852 km2),,0.25150000000000006,27964.5
Person County,145,Roxboro,1791,Caswell County,"Thomas Person, an American Revolutionary War patriot","39,240","404 sq mi(1,046 km2)",,0.14900000000000002,27550.363636363636
Pitt County,147,Greenville,1760,Beaufort County,"William Pitt, 1st Earl of Chatham (1708–1778), Secretary of State during the French and Indian War and was later Prime Minister of Great Britain","176,484","655 sq mi(1,696 km2)",,0.15278378378378382,28035.891891891893
Polk County,149,Columbus,1855,Henderson County and Rutherford County,"William Polk (1758–1834), officer in the American Revolutionary War and first president of the State Bank of North Carolina","20,434",239 sq mi(619 km2),,0.097,28752.428571428572
Randolph County,151,Asheboro,1779,Guilford County,"Peyton Randolph (c. 1721–1755), the first President of the Continental Congress","142,827","790 sq mi(2,046 km2)",,0.11756410256410255,27276.48717948718
Richmond County,153,Rockingham,1779,Anson County,"Charles Lennox, 3rd Duke of Richmond (1735–1806), a firm supporter of the American colonists and advocated removal of British troops","45,447","480 sq mi(1,243 km2)",,0.1621875,28357.125
