,Linear reg,Ridge,Lasso,ElasticNet,RFE,RF,Corr.,MIC,Mean
EOGMathGr3_CACR_Black,0.5,0.34,0.32,0.3,0.59,0.0,0.0,0.09,0.27
digital_media_pct,0.5,0.46,0.35,0.39,0.41,0.02,0.0,0.04,0.27
lea_advance_dgr_pct,0.5,0.43,0.32,0.31,0.28,0.02,0.1,0.17,0.27
lea_ap_pct_3_or_above,0.5,0.46,0.31,0.3,0.24,0.01,0.17,0.2,0.27
EOGGr4_CACR_LEP,0.5,0.35,0.32,0.31,0.68,0.0,0.0,0.02,0.27
EOGReadingGr3-8_CACR_SWD,0.5,0.35,0.32,0.31,0.45,0.01,0.08,0.13,0.27
EOGReadingGr3-8_GLP_LEP,0.5,0.44,0.32,0.3,0.46,0.01,0.02,0.08,0.27
long_susp_per_c_num,0.5,0.41,0.32,0.54,0.3,0.01,0.03,0.06,0.27
school_type_txt_Magnet School,0.27,0.46,0.32,0.31,0.8,0.0,0.0,0.03,0.27
EOGReadingGr3_CACR_LEP,0.5,0.49,0.32,0.31,0.48,0.0,0.01,0.03,0.27
(TCE) prepared returns Ct 75KLT100K,0.5,0.39,0.32,0.31,0.5,0.0,0.02,0.07,0.26
Avg Personal Property Taxes,0.5,0.47,0.32,0.31,0.22,0.02,0.06,0.15,0.26
EVAAS Growth Status_NotMet,0.5,0.39,0.32,0.3,0.49,0.0,0.02,0.06,0.26
Deductible points Ct LT25K,0.5,0.25,0.19,0.12,0.93,0.0,0.01,0.07,0.26
EOGMathGr3-8_CACR_LEP,0.5,0.37,0.32,0.31,0.47,0.01,0.02,0.08,0.26
crime_per_c_num,0.5,0.41,0.32,0.31,0.19,0.04,0.0,0.27,0.26
EOGMathGr3-8_CACR_Black,0.5,0.35,0.32,0.25,0.51,0.01,0.01,0.17,0.26
EOCSubjects_CACR_Hispanic,0.5,0.3,0.28,0.2,0.71,0.0,0.0,0.11,0.26
EOGGr3_CACR_EDS,0.5,0.4,0.26,0.26,0.29,0.01,0.13,0.23,0.26
lea_wap_per_classroom,0.5,0.36,0.32,0.26,0.62,0.02,0.01,0.03,0.26
lea_crime_per_c_num,0.5,0.37,0.32,0.14,0.62,0.02,0.02,0.13,0.26
lea_tchyrs_4thru10_pct,0.5,0.41,0.32,0.31,0.37,0.03,0.07,0.08,0.26
EOGGr4_CACR_EDS,0.5,0.43,0.32,0.31,0.21,0.01,0.1,0.24,0.26
Reading SPG Grade_B,0.5,0.44,0.32,0.31,0.14,0.0,0.1,0.26,0.26
Math SPG Grade_D,0.5,0.47,0.36,0.36,0.17,0.0,0.07,0.12,0.26
EOGGr3_CACR_Hispanic,0.5,0.45,0.32,0.31,0.34,0.01,0.04,0.11,0.26
EOGSubjects_CACR_Black,0.5,0.37,0.32,0.31,0.41,0.01,0.02,0.17,0.26
EOGMathGr4_CACR_AmericanIndian,0.5,0.35,0.32,0.31,0.61,0.0,0.0,0.01,0.26
EOGMathGr5_CACR_EDS,0.5,0.4,0.32,0.35,0.32,0.01,0.07,0.13,0.26
EOGScienceGr5&8_CACR_AIG,0.5,0.33,0.29,0.27,0.53,0.0,0.05,0.15,0.26
EOGMathGr5_CACR_TwoorMoreRaces,0.5,0.46,0.33,0.36,0.37,0.01,0.0,0.01,0.26
SBE District_Western,0.5,0.43,0.32,0.33,0.44,0.0,0.01,0.03,0.26
EOGReadingGr3_CACR_EDS,0.5,0.39,0.32,0.29,0.24,0.01,0.12,0.21,0.26
avg_daily_attend_pct,0.5,0.44,0.32,0.31,0.2,0.04,0.12,0.19,0.26
SBE District_Northeast,0.5,0.45,0.28,0.29,0.44,0.0,0.03,0.06,0.26
Residential energy tax credit Ct LT25K,0.5,0.42,0.32,0.3,0.55,0.0,0.0,0.03,0.26
EOGReadingGr5_GLP_SWD,0.5,0.4,0.32,0.31,0.45,0.0,0.02,0.07,0.26
EOGScienceGr5_CACR_LEP,0.5,0.36,0.32,0.3,0.56,0.0,0.0,0.02,0.26
EOGReadingGr4_GLP_SWD,0.5,0.32,0.27,0.24,0.54,0.0,0.06,0.13,0.26
Reading SPG Grade_C,0.5,0.46,0.32,0.32,0.31,0.0,0.04,0.09,0.26
EOCMathI_CACR_Female,0.5,0.22,0.18,0.15,0.88,0.0,0.0,0.07,0.25
(TCE) prepared returns Ct 25KLT50K,0.5,0.59,0.32,0.31,0.15,0.01,0.02,0.13,0.25
SPG Grade_C,0.5,0.3,0.28,0.26,0.6,0.0,0.0,0.05,0.25
EOGReadingGr3_GLP_LEP,0.5,0.29,0.3,0.29,0.59,0.0,0.01,0.03,0.25
stud_internet_comp_num,0.5,0.45,0.32,0.31,0.28,0.04,0.01,0.06,0.25
